Protein_id	Subfamily	Clade	Subclade	Group	Subgroup
Bac226_337907542_tax	1	30	8	34	491
Bac226_37992027_tax	1	30	8	34	491
Bac226_336484942_tax	1	30	8	34	491
Bac226_51521855_tax	1	30	8	34	491
Bac226_421642103_tax	1	30	8	34	491
Bac226_46250401_tax	1	30	8	34	491
Bac226_219106728_tax	1	30	8	34	491
Bac226_311481532_tax	1	30	8	34	491
Bac226_258617771_tax	1	30	8	34	491
Bac226_382282478_tax	1	30	8	34	491
Bac226_40836383_tax	1	30	8	34	491
Bac226_134827067_tax	1	30	8	34	491
Bac226_286679640_tax	1	30	8	34	491
Bac226_275716099_tax	1	30	8	34	491
Bac226_182309351_tax	1	30	8	34	491
Bac226_18046758_tax	1	30	8	34	491
Bac226_241368928_tax	1	30	8	34	491
Bac226_198011676_tax	1	30	8	34	491
Bac226_408225550_tax	1	30	8	34	491
Bac226_251842349_tax	1	30	8	34	491
Bac226_320685778_tax	1	30	8	34	491
Bac226_354522278_tax	1	30	8	34	491
Bac226_287103956_tax	1	30	8	34	491
Bac226_284683132_tax	1	30	8	34	491
Bac226_289089007_tax	1	30	8	34	491
Bac226_323372928_tax	1	30	8	34	491
Bac226_253493289_tax	1	30	8	34	491
Bac226_169599112_tax	1	30	8	34	491
Bac226_213090965_tax	1	30	8	34	491
Bac226_232215583_tax	1	30	8	34	491
Bac226_309989836_tax	1	30	8	34	491
Bac226_46455803_tax	1	30	8	34	491
Bac226_49848390_tax	1	30	8	34	491
Bac226_136568656_tax	1	30	8	34	537
Bac226_92832758_tax	1	30	8	34	537
Bac226_309216313_tax	1	30	8	34	pbt_Bac226_309216313_tax
Bac226_305946376_tax	1	30	8	34	tbl_Bac226_305946376_tax
Bac226_279246419_tax	1	30	8	34	tbl_Bac226_279246419_tax
Bac226_20565087_tax	1	30	8	34	pb_542
Bac226_116080351_tax	1	30	8	34	pb_544
Bac226_188376857_tax	1	30	8	34	pb_546
Bac226_228006631_tax	1	30	8	34	pb_546
Bac226_394887174_tax	1	30	8	34	pb_546
Bac226_411252347_tax	1	30	8	34	pb_549
Bac226_263505900_tax	1	30	8	34	pb_549
Bac226_187322254_tax	1	30	8	34	pb_551
Bac226_369616181_tax	1	30	8	34	pb_551
Bac226_212504573_tax	1	30	8	34	pb_551
Bac226_358387909_tax	1	30	8	34	554
Bac226_23702565_tax	1	30	8	34	554
Bac226_109421686_tax	1	30	8	34	554
Bac226_27028494_tax	1	30	8	34	554
Bac226_277183173_tax	1	30	8	34	554
Arc226_6163961_tax	1	30	8	34	pb_558
097_d__Bacteria_p__Bacillota_c__Bacilli_o__Bacillales_f__Bacillaceae_g__Bacillus_s__Bacillus_velezensis_A7Z8R4_NHAK	1	30	8	34	560
035_d__Bacteria_p__Bacillota_c__Bacilli_o__Bacillales_f__Bacillaceae_G_g__Bacillus_A_s__Bacillus_subtilus_O32212_NHAK	1	30	8	34	560
Bac226_97646036_tax	1	30	8	34	560
Bac226_416011992_tax	1	30	8	34	562
Bac226_53232286_tax	1	30	8	34	562
Bac226_53351716_tax	1	30	8	34	562
Bac226_51207398_tax	1	30	8	34	562
Bac226_182981177_tax	1	30	8	34	pb_565
Bac226_119858505_tax	1	30	8	34	pb_565
Bac226_259577998_tax	1	30	8	34	pb_565
Bac226_412976513_tax	1	30	8	34	pb_565
Bac226_321247987_tax	1	30	8	34	568
Bac226_416609930_tax	1	30	8	34	568
Bac226_241135987_tax	1	30	8	34	569
Bac226_57932760_tax	1	30	8	34	569
Bac226_403472899_tax	1	30	8	34	569
Bac226_94515471_tax	1	30	8	34	572
Bac226_306098975_tax	1	30	8	34	572
Bac226_57954108_tax	1	30	8	34	572
Bac226_77709696_tax	1	30	8	34	572
Bac226_58362184_tax	1	30	8	34	572
Bac226_65472946_tax	1	30	8	34	572
Bac226_53711345_tax	1	30	8	34	572
Bac226_102746182_tax	1	30	8	34	572
Bac226_353308508_tax	1	30	8	34	572
Bac226_398921089_tax	1	30	8	34	572
Bac226_380540394_tax	1	30	8	34	572
Bac226_377078730_tax	1	30	8	34	572
Bac226_123370258_tax	1	30	8	34	572
Bac226_121951951_tax	1	30	8	34	572
Bac226_229289321_tax	1	30	8	34	572
Bac226_26032116_tax	1	30	8	34	572
Bac226_279380136_tax	1	30	8	34	572
Bac226_245443388_tax	1	30	8	34	572
Bac226_330267746_tax	1	30	8	34	572
Bac226_301971312_tax	1	30	8	34	572
Bac226_121953298_tax	1	30	8	34	572
Bac226_287059014_tax	1	30	8	34	572
Bac226_173583888_tax	1	30	8	34	572
Bac226_27795375_tax	1	30	8	34	572
Bac226_36446234_tax	1	30	8	34	572
Bac226_305013757_tax	1	30	8	34	572
Bac226_52474145_tax	1	30	8	34	572
Bac226_87243215_tax	1	30	8	34	572
Bac226_372877579_tax	1	30	8	34	572
Bac226_74588460_tax	1	30	8	34	572
Bac226_53561707_tax	1	30	8	34	572
Bac226_320472666_tax	1	30	8	34	572
Bac226_98302323_tax	1	30	8	34	572
Bac226_200628745_tax	1	30	8	34	572
Bac226_226739966_tax	1	30	8	34	572
Bac226_128677235_tax	1	30	8	34	572
Bac226_272429128_tax	1	30	8	34	572
Bac226_246624829_tax	1	30	8	34	572
Bac226_37453002_tax	1	30	8	34	572
Bac226_249362340_tax	1	30	8	34	572
Bac226_376837691_tax	1	30	8	34	572
Bac226_50327156_tax	1	30	8	34	572
Bac226_94088588_tax	1	30	8	34	572
Bac226_419791055_tax	1	30	8	34	572
Bac226_156425167_tax	1	30	8	34	615
Bac226_121505949_tax	1	30	8	34	615
Bac226_335879384_tax	1	30	8	34	615
Bac226_274659136_tax	1	30	8	34	615
Bac226_4675508_tax	1	30	8	34	615
Bac226_339426568_tax	1	30	8	34	615
Bac226_402680699_tax	1	30	8	34	615
Bac226_316464976_tax	1	30	8	34	615
Bac226_234201920_tax	1	30	8	34	615
Bac226_51253738_tax	1	30	8	34	615
Bac226_4891026_tax	1	30	8	34	615
Bac226_106537146_tax	1	30	8	34	tbl_Bac226_106537146_tax
Bac226_402489387_tax	1	30	8	34	tbl_Bac226_402489387_tax
Bac226_420380315_tax	1	30	8	34	tbl_Bac226_420380315_tax
Bac226_415328231_tax	1	30	8	34	tbl_Bac226_415328231_tax
Bac226_366595982_tax	1	30	8	34	630
Bac226_401077680_tax	1	30	8	34	630
Bac226_178522182_tax	1	30	8	34	630
Bac226_403449275_tax	1	30	8	34	630
Bac226_339182460_tax	1	30	8	34	630
Bac226_106143210_tax	1	30	8	34	634
Bac226_194008275_tax	1	30	8	34	634
Bac226_422764301_tax	1	30	8	34	tbl_Bac226_422764301_tax
Bac226_168679831_tax	1	30	8	34	641
Bac226_157233573_tax	1	30	8	34	641
Bac226_268756670_tax	1	30	8	34	641
Bac226_192626488_tax	1	30	8	34	tbl_Bac226_192626488_tax
Bac226_323334735_tax	1	30	8	34	647
Bac226_311825912_tax	1	30	8	34	647
Bac226_58953323_tax	1	30	8	34	647
Bac226_66655055_tax	1	30	8	34	647
Bac226_126448259_tax	1	30	8	34	647
Bac226_277624249_tax	1	30	8	34	647
Bac226_196199960_tax	1	30	8	34	647
Bac226_222815384_tax	1	30	8	34	647
Bac226_30223886_tax	1	30	8	34	647
Bac226_110939618_tax	1	30	8	34	647
Bac226_205222250_tax	1	30	8	34	tbl_Bac226_205222250_tax
Bac226_388330669_tax	1	30	8	34	657
